baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,ComboS2Rep2_S56,ComboS2Rep3_S84,ComboS2Rep1_S24,CtrlS2Rep2_S35,CtrlS2Rep1_S21,CtrlS2Rep3_S63,gene
207.6082805,-0.144360823,0.243588653,-0.592641824,0.553420883,0.773001559,178.5334148,240.9560376,172.9254446,243.5277311,168.6931731,241.013882,GENE35
307.8378881,-0.343349773,0.196697982,-1.745568354,0.080885985,0.280277462,256.1203661,270.316227,287.887053,382.8431448,314.8147245,335.0458132,GENE36
543.4739733,-0.499311997,0.195957226,-2.548066265,0.010832189,0.07837307,492.2182932,430.2786386,427.9663238,524.352502,757.931299,628.0967834,GENE37
366.2896728,-0.551519501,0.223830427,-2.464005937,0.013739384,0.091164069,251.9490247,265.2541254,373.8667433,445.3705352,502.5155791,358.7820289,GENE38
197.2292416,0.395817647,0.25945083,1.525597923,0.12711003,0.363488074,285.3197564,233.8690953,152.6381019,160.1578772,188.8888347,162.5017841,GENE39
422.5986122,0.053922269,0.215442596,0.250286015,0.802366171,0.919296424,468.0245127,339.1608092,483.9980321,335.673359,466.8761763,441.8587837,GENE40
139.8306237,-0.230232546,0.266715072,-0.863215355,0.388019073,0.64664226,145.1626831,91.11782934,149.7399101,148.0911878,137.8056907,167.0664409,GENE41
255.055373,-0.559922207,0.253708719,-2.206949011,0.027317622,0.144168474,166.8536587,217.6703701,233.7874726,245.7216746,413.4170722,252.8819898,GENE42
103.0736371,-0.118226868,0.285280183,-0.414423697,0.678563837,0.850671558,102.6150001,121.4904391,72.45479522,116.2790067,103.354268,102.2483136,GENE43
71.25984673,0.351727423,0.309783365,1.135398034,0.256208583,0.524606674,87.59817083,68.84458217,83.08149852,73.49710802,57.02304444,57.51467639,GENE44
808.0691614,-0.080441169,0.180245936,-0.446285616,0.655390945,0.836609951,784.212196,668.1974152,904.2358444,883.062268,773.3750402,835.3322047,GENE45
424.2846124,-0.052867533,0.220129432,-0.240165671,0.810201825,0.922975694,425.4768298,517.3467866,307.2083317,432.206874,389.6574703,473.8113817,GENE46
196.1301203,-0.061480003,0.26110221,-0.235463356,0.813849117,0.924938613,215.2412198,224.7573124,136.215015,163.4487925,192.452775,244.6656075,GENE47
289.4405969,1.141343321,0.21998659,5.188240432,2.12E-07,1.53E-05,407.9571956,373.5831003,413.4753647,225.9761829,144.9335713,170.7181664,GENE48
934.3916228,-0.24638882,0.185880824,-1.325520377,0.184998615,0.441688915,770.029635,949.6502658,844.3398803,951.0745172,1209.363734,881.8917046,GENE49
3330.330324,0.081306623,0.151839055,0.535478985,0.592318685,0.797618364,3550.645858,3511.073691,3211.196524,3087.975509,3117.259763,3503.830603,GENE50
467.5217926,0.567338114,0.19124086,2.966615568,0.003010972,0.031835731,544.7771957,495.0735394,634.7040061,420.1401847,363.5219083,346.9139211,GENE51
221.9102813,-0.298655824,0.218573888,-1.366383818,0.171818525,0.423517187,216.9097563,193.3722823,186.4503397,208.4246347,277.9873416,248.317333,GENE52
158.8658716,0.056399504,0.332204809,0.16977329,0.865188433,0.947584555,110.9576831,121.4904391,253.1087513,144.8002725,211.4604565,111.3776273,GENE53
147.6802528,-0.022813538,0.2496595,-0.09137861,0.927191758,0.972756407,128.4773172,137.6891643,173.8915085,155.7699901,125.9258898,164.3276468,GENE54
28.41324313,0.477767043,0.482225384,0.990754654,0.321805396,0.589526393,20.85670734,46.571335,31.8801099,18.64851995,29.69950231,22.82328428,GENE55
467.6021718,-0.468544898,0.191027708,-2.452758836,0.014176535,0.093225462,415.4656102,346.2477515,414.4414287,567.1344007,593.9900462,468.3337934,GENE56
2432.636229,-0.773079775,0.255550907,-3.025149795,0.0024851,0.027613228,1686.056221,1274.63719,2426.752608,2365.071118,4325.435517,2517.864722,GENE57
303.5734632,-0.388725432,0.289386976,-1.343272038,0.179183903,0.433283787,322.0275613,169.0741944,296.5816284,285.212658,496.5756786,251.9690585,GENE58
106.3981494,-0.244137704,0.274096242,-0.890700661,0.37308978,0.6344118,110.1234148,97.1923513,85.01362639,95.43654325,116.4220491,134.2009116,GENE59
126.213207,-0.200714922,0.265590538,-0.755730695,0.449810677,0.696287483,137.6542685,111.3662359,103.3688412,109.6971762,135.4297305,159.76299,GENE60
487.9130618,0.117745006,0.199205037,0.591074442,0.554470544,0.773725696,496.3896347,448.5022044,577.7062339,470.6008857,541.7189221,392.5604896,GENE61
186.1341667,-0.581427652,0.329782435,-1.763064343,0.077889638,0.27480154,171.0250002,182.2356587,94.67426576,228.1701264,121.1739694,319.5259799,GENE62
990.7464034,-0.020125924,0.15869186,-0.126823923,0.899079761,0.961607387,1032.824148,928.389439,990.2155347,1004.826134,969.3917554,1018.83141,GENE63
185.8632563,-0.684428232,0.266087302,-2.57219426,0.010105617,0.074942483,91.7695123,154.9003099,181.62002,245.7216746,225.7162176,215.4518036,GENE64
356.4359505,0.244229157,0.199218377,1.225936884,0.220222427,0.484453697,319.5247565,418.1295946,422.1699402,327.9945567,338.5743263,312.222529,GENE65
515.4462462,-0.766451791,0.194763677,-3.935291237,8.31E-05,0.002207942,370.4151224,451.5394654,323.6314187,661.4739722,584.4862055,701.1312931,GENE66
114.6358302,-1.197289941,0.301243573,-3.974491241,7.05E-05,0.00193577,81.75829278,78.96878543,48.30319681,141.5093572,131.8657903,205.4095585,GENE67
452.9987799,0.317654112,0.21489863,1.478157922,0.139365514,0.381362288,449.6706103,409.0178117,649.1949652,377.358286,438.3646541,394.3863524,GENE68
232.0532675,0.089176347,0.283004614,0.315105628,0.752681455,0.892039315,248.6119515,319.924823,149.7399101,240.2368158,166.3172129,267.4888918,GENE69
158.655584,0.437359211,0.25650663,1.705060065,0.088183223,0.293741134,164.3508538,222.7324717,161.3326774,120.6668938,117.6100291,165.2405782,GENE70
2233.222821,-0.870590049,0.174522106,-4.988422785,6.09E-07,3.90E-05,1630.160246,1799.070919,1308.05057,2666.738352,3158.839066,2836.47777,GENE71
7.523511723,-1.947580546,0.920554509,-2.11566021,0.034373717,0.16566975,3.337073175,2.024840652,3.864255745,19.74549171,10.69182083,5.477588227,GENE72
626.8474351,-0.224294064,0.203793274,-1.100596011,0.271072523,0.540186025,583.1535373,496.0859597,654.9913488,540.8070784,811.3904031,674.6562833,GENE73
651.5767166,-0.456176537,0.196862049,-2.31723961,0.020490683,0.119947695,508.0693908,585.1789484,554.5206994,676.8315768,938.504273,646.3554108,GENE74
168.8657454,-0.088589572,0.245758073,-0.360474718,0.71849216,0.872390731,159.3452441,203.4964855,128.4865035,179.9033689,163.9412528,178.0216174,GENE75
3116.000311,-0.343680891,0.176340572,-1.948960966,0.051300086,0.212790901,2876.557076,2434.870884,2927.173727,3628.782587,3970.229469,2858.388123,GENE76
309.5261215,-1.043022391,0.23440225,-4.44971151,8.60E-06,0.000345715,229.4237808,161.9872522,214.4661939,375.1643424,531.0271013,345.0880583,GENE77
